CITY_CODE,STATE,NUM_PARTICIPANTS,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CITY,FAMILY_INCOME_SM_AVG,CLUSTER
1100015,RO,609,496.2330049261085,504.7233169129721,488.8422003284073,498.0014778325124,486.1740558292282,494.79481116584566,ALTA FLORESTA D'OESTE,1.422496984318456,1
1100023,RO,3177,499.93525338369534,503.0559017941454,496.11665092854895,494.1458923512748,490.25495750708217,496.7017311929493,ARIQUEMES,1.6024941126097196,1
1100049,RO,3928,507.5980906313646,511.41563136456216,500.8627036659878,503.4665733197556,500.9521384928717,504.85902749490833,CACOAL,1.730595427963849,1
1100056,RO,398,503.76080402010047,504.97738693467335,492.3899497487437,498.47336683417086,483.9698492462312,496.714271356784,CEREJEIRAS,1.58375,1
1100064,RO,472,506.9830508474576,505.28156779661015,491.7279661016949,502.8237288135593,485.33898305084745,498.4310593220338,COLORADO DO OESTE,1.715846994535519,1
1100098,RO,725,502.9406896551724,515.6815172413793,497.0078620689656,505.752275862069,505.7655172413793,505.4295724137931,ESPIGÃO D'OESTE,1.697668393782383,1
1100106,RO,2091,478.36307986609273,482.3024390243903,480.1531802965089,470.42453371592535,435.9253945480632,469.433725490196,GUAJARÁ-MIRIM,1.3066334991708126,0
1100114,RO,1617,489.3666666666667,494.6266542980829,487.5526901669759,483.8331478045764,467.1614100185529,484.5081137909709,JARU,1.6548889837745515,0
1100122,RO,4914,499.7493894993895,502.4315832315832,495.0107651607651,496.7222832722832,491.1803011803012,497.0188644688645,JI-PARANÁ,1.740318021201413,1
1100130,RO,440,495.28613636363633,501.5761363636364,489.7425,491.2040909090909,472.8181818181818,490.1254090909091,MACHADINHO D'OESTE,1.3343837535014005,1
1100148,RO,440,499.6309090909091,497.56772727272727,490.18545454545455,495.7740909090909,457.2272727272728,488.0770909090909,NOVA BRASILÂNDIA D'OESTE,1.447327044025157,0
1100155,RO,1384,499.17333815028906,503.4854046242775,493.8611271676301,497.3403179190751,499.1763005780346,498.6072976878613,OURO PRETO DO OESTE,1.5843373493975903,1
1100189,RO,1186,499.0816188870152,498.82605396290046,490.09738617200674,488.6560708263069,487.318718381113,492.79596964586847,PIMENTA BUENO,1.6850892343120325,1
1100205,RO,20186,497.96370752006345,507.9196274645794,499.01800752997127,495.6363271574359,501.5951649658179,500.4265669275736,PORTO VELHO,1.668279515978072,1
1100254,RO,675,492.9023703703704,498.19377777777777,487.9682962962963,495.42829629629625,485.1555555555556,491.92965925925927,PRESIDENTE MÉDICI,1.5383995703544575,1
1100288,RO,2891,503.65579384296086,505.5964026288481,494.4780352819094,494.0443099273608,482.6080940850917,496.0765271532341,ROLIM DE MOURA,1.527027027027027,1
1100304,RO,2461,504.69203575782205,510.6322633075985,502.60841121495326,502.730272247054,497.6919951239333,503.6709955302722,VILHENA,1.7239384866630376,1
1100320,RO,673,484.9112927191679,486.00430906389306,477.3662704309064,477.6622585438336,457.8900445765231,476.7668350668648,SÃO MIGUEL DO GUAPORÉ,1.43425,0
1100346,RO,531,496.8412429378531,500.0080979284369,486.9708097928437,484.1713747645951,487.3069679849341,491.0596986817326,ALVORADA D'OESTE,1.4682486631016043,1
1100403,RO,241,492.78589211618254,493.202489626556,481.7203319502075,477.3630705394191,445.3941908713693,478.09319502074686,ALTO PARAÍSO,1.178191489361702,0
1100452,RO,533,492.50450281425896,496.3339587242026,489.1166979362101,485.5395872420263,469.7560975609756,486.6501688555347,BURITIS,1.4270949720670392,0
1101302,RO,439,493.36924829157175,492.35626423690206,481.1503416856492,488.60820045558086,486.33257403189066,488.3633257403189,MIRANTE DA SERRA,1.4393203883495145,0
1101401,RO,341,488.6824046920822,491.0134897360704,484.0087976539589,482.1791788856305,469.8533724340176,483.147448680352,MONTE NEGRO,1.3951793721973094,0
1101492,RO,531,481.2531073446328,488.5199623352166,476.8020715630885,475.3254237288135,440.7909604519774,472.5383050847457,SÃO FRANCISCO DO GUAPORÉ,1.361284289276808,0
1200013,AC,502,486.1633466135458,491.1346613545817,483.9705179282869,485.27430278884464,465.8964143426295,482.4878486055777,ACRELÂNDIA,1.1637199434229135,0
1200104,AC,510,484.9123529411765,490.0523529411765,483.6737254901961,479.3778431372549,475.84313725490193,482.7718823529413,BRASILÉIA,1.1894768856447688,0
1200203,AC,5359,478.4216458294458,479.12409031535736,477.1209927225228,467.1873670460907,487.8447471543199,477.9397686135473,CRUZEIRO DO SUL,1.0370568941592029,0
1200252,AC,313,490.9134185303514,494.5376996805112,488.8389776357828,480.57092651757193,495.5910543130991,490.09041533546326,EPITACIOLÂNDIA,1.3481210855949897,0
1200302,AC,621,478.0702093397745,483.7096618357488,483.08985507246376,478.6798711755234,479.8711755233495,480.684154589372,FEIJÓ,0.995505617977528,0
1200328,AC,115,463.26695652173913,468.7973913043478,457.07130434782607,446.7782608695652,406.2608695652174,448.4349565217392,JORDÃO,0.7457627118644068,0
1200336,AC,785,472.243821656051,467.7117197452229,466.0047133757962,456.0714649681528,483.54140127388536,469.1146242038217,MÂNCIO LIMA,0.8596187175043327,0
1200351,AC,244,473.02213114754096,469.2049180327869,454.8290983606557,453.5270491803279,426.7213114754098,455.4609016393442,MARECHAL THAUMATURGO,0.8170731707317073,0
1200385,AC,401,472.1812967581048,478.8399002493765,477.2982543640898,471.3975062344139,463.3915211970075,472.6216957605985,PLÁCIDO DE CASTRO,1.0737632508833923,0
1200393,AC,144,470.12638888888887,461.3562500000001,456.19027777777774,458.225,456.94444444444446,460.5684722222222,PORTO WALTER,0.9239690721649484,0
