STATE,NUM_PARTICIPANTS,FAMILY_INCOME_SM_AVG,NATURAL_SCIENCES_SCORE_AVG,HUMANITIES_SCORE_AVG,LANGUAGES_SCORE_AVG,MATH_SCORE_AVG,ESSAY_SCORE_AVG,OVERALL_SCORE_AVG,CLUSTER
AC,41257.0,1.2757072522995463,456.13618052694096,513.0332258768208,501.8268778631505,455.2820491068183,505.36500472647066,486.3286676200402,0
AL,101882.0,1.280529755404788,464.5230021004692,517.8737411907895,504.3485856186569,468.7624919023969,535.8737362831511,498.2763114190926,0
AM,112223.0,1.346492411615989,459.596789428192,517.1484793669747,503.8917458987908,460.39614963064616,521.191582830614,492.4449494310435,0
AP,40268.0,1.3235348444749693,459.47184861428434,514.8370120194696,499.3352090990364,456.2354847521605,523.2259113936625,490.62109317572265,0
BA,426519.0,1.2906494350530993,469.5500753776503,527.1782040190473,510.4776987660573,472.545051920313,532.4693202413023,502.444070064874,1
CE,342002.0,1.1788348709161711,472.60477716504585,524.9254671025315,511.4259206086514,477.270104268396,536.6072215951954,504.5666981479641,1
DF,105800.0,2.0060901048031914,484.7502173913044,546.7065812854443,532.4934555765595,497.76597731569,553.9012759924385,523.1235015122874,2
ES,110696.0,1.8520687138994392,489.1289043867891,545.2543750451687,526.0184433041845,505.02412733974126,546.8910800751607,522.4633860302089,2
GO,184697.0,1.842644102084756,476.8103174388322,533.9871871226928,520.7152119417209,488.4901167858709,538.1085615900637,511.62227897583614,1
MA,227703.0,1.203655744474048,461.9830893751948,513.122769572645,499.5022226321129,458.7021646618622,515.5796234568714,489.7779739397373,0
MG,618794.0,1.887714520409702,487.8069632220093,545.7322634026833,530.5832627659609,508.4455579724432,553.2615313012085,525.1659157328611,2
MS,84369.0,1.7087225857710733,470.1484597423224,527.0492704666407,514.8631428605294,483.57526342614,517.1759414002773,502.562415579182,1
MT,102371.0,1.861020510448061,465.9025583417179,522.441565482412,507.5105420480409,476.6414541227497,516.1915581561184,497.73753563020784,0
PA,297901.0,1.2915012215215531,465.24278804032224,521.4553610091943,502.9308918063383,462.2534278166237,522.4676117233578,494.8700160791672,0
PB,160836.0,1.3329050348624094,471.6614831256682,526.9900830659803,513.0355536074013,478.38305665398303,543.1435126464224,506.6427378198911,1
PE,298961.0,1.3390418947535452,474.4871926438565,529.8056161171525,517.2666421372687,480.6524202153459,539.6961175537947,508.3815977334836,1
PI,137340.0,1.227068253418523,466.4032554244939,515.4068785495849,502.163117809815,466.7362181447503,518.4374617737003,493.82938634046894,0
PR,264988.0,2.2357371919802467,484.109002671819,542.7509151357797,528.152232553927,503.5373881081407,537.8988557972436,519.2896788533822,2
RJ,350844.0,1.987028965234097,491.3009839130782,556.3397621164963,539.1711404498866,507.3957226003581,574.8645067323368,533.8144231624312,2
RN,134495.0,1.4575101078712294,476.7533521692256,531.2262493029481,518.3740897431131,485.4911052455481,544.3557976132942,511.24011881482585,1
RO,66124.0,1.6859037929353349,463.7619442259996,519.9031380436757,507.43917790817255,473.0662331377412,504.6610459137378,493.76630784586536,0
RR,14673.0,1.5607720081683605,467.3384311320112,520.7293873100252,508.0500102228583,468.5026238669665,520.3594356982212,496.9959776460165,0
RS,270361.0,2.04390899630716,482.40176652697687,543.809503589645,530.5168504333095,504.4353579103494,543.1799889777002,520.8686934875963,2
SC,122401.0,2.506776191720303,490.5511883072851,546.8442831349417,533.1343984117777,511.9847615624056,553.5693907729512,527.2168044378723,2
SE,82626.0,1.3056126097228664,471.9937489410112,523.1479740033404,506.9099544937429,473.35220027594215,538.4821968871784,502.77721492024295,1
SP,896612.0,2.266940091212202,488.1457582544066,551.8624778611038,541.6475053869456,509.70109255731575,552.9772956418161,528.8668259403175,2
TO,50058.0,1.5564015574217054,463.3610951296495,515.6374625434496,503.8713432418394,468.1686923169124,510.821147468936,492.3719481401574,0
